looking for magic with first 6 bits: 0b000000...
    I already found 1048576 magic numbers, including 1048575 very magic
    I already found 2097152 magic numbers, including 2097151 very magic
    I already found 3145728 magic numbers, including 3145727 very magic
    I already found 4194304 magic numbers, including 4194303 very magic
    I already found 5242880 magic numbers, including 4194304 very magic
    I already found 6291456 magic numbers, including 4194304 very magic
    I already found 7340032 magic numbers, including 4194304 very magic
    I already found 8388608 magic numbers, including 4194304 very magic
    I already found 9437184 magic numbers, including 4194304 very magic
    I already found 10485760 magic numbers, including 4194304 very magic
    I already found 11534336 magic numbers, including 4194304 very magic
    I already found 12582912 magic numbers, including 4194304 very magic
    I already found 13631488 magic numbers, including 4194304 very magic
    I already found 14680064 magic numbers, including 4194304 very magic
    I already found 15728640 magic numbers, including 4194304 very magic
    I already found 16777216 magic numbers, including 4194304 very magic
    I already found 17825792 magic numbers, including 4194304 very magic
    I already found 18874368 magic numbers, including 4194304 very magic
    I already found 19922944 magic numbers, including 4194304 very magic
    I already found 20971520 magic numbers, including 4194304 very magic
    I already found 22020096 magic numbers, including 4194304 very magic
    I already found 23068672 magic numbers, including 4194304 very magic
    I already found 24117248 magic numbers, including 4194304 very magic
    I already found 25165824 magic numbers, including 4194304 very magic
    I already found 26214400 magic numbers, including 4194304 very magic
    I already found 27262976 magic numbers, including 4194304 very magic
    I already found 28311552 magic numbers, including 4194304 very magic
    I already found 29360128 magic numbers, including 4194304 very magic
    I already found 30408704 magic numbers, including 4194304 very magic
    I already found 31457280 magic numbers, including 4194304 very magic
    I already found 32505856 magic numbers, including 4194304 very magic
    I already found 33554432 magic numbers, including 4194304 very magic
    I already found 34603008 magic numbers, including 4194304 very magic
    I already found 35651584 magic numbers, including 4194304 very magic
    I already found 36700160 magic numbers, including 4194304 very magic
    I already found 37748736 magic numbers, including 4194304 very magic
    I already found 38797312 magic numbers, including 4194304 very magic
    I already found 39845888 magic numbers, including 4194304 very magic
    I already found 40894464 magic numbers, including 4194304 very magic
    I already found 41943040 magic numbers, including 4194304 very magic
    I already found 42991616 magic numbers, including 4194304 very magic
    I already found 44040192 magic numbers, including 4194304 very magic
    I already found 45088768 magic numbers, including 4194304 very magic
    I already found 46137344 magic numbers, including 4194304 very magic
    I already found 47185920 magic numbers, including 4194304 very magic
    I already found 48234496 magic numbers, including 4194304 very magic
    I already found 49283072 magic numbers, including 4194304 very magic
    I already found 50331648 magic numbers, including 4194304 very magic
    I already found 51380224 magic numbers, including 4194304 very magic
    I already found 52428800 magic numbers, including 4194304 very magic
    I already found 53477376 magic numbers, including 4194304 very magic
    I already found 54525952 magic numbers, including 4194304 very magic
    I already found 55574528 magic numbers, including 4194304 very magic
    I already found 56623104 magic numbers, including 4194304 very magic
    I already found 57671680 magic numbers, including 4194304 very magic
    I already found 58720256 magic numbers, including 4194304 very magic
    I already found 59768832 magic numbers, including 4194304 very magic
    I already found 60817408 magic numbers, including 4194304 very magic
    I already found 61865984 magic numbers, including 4194304 very magic
    I already found 62914560 magic numbers, including 4194304 very magic
    I already found 63963136 magic numbers, including 4194304 very magic
    I already found 65011712 magic numbers, including 4194304 very magic
    I already found 66060288 magic numbers, including 4194304 very magic
    I already found 67108864 magic numbers, including 4194304 very magic
looking for magic with first 6 bits: 0b000001...
    I already found 68157440 magic numbers, including 5242879 very magic
    I already found 69206016 magic numbers, including 6291455 very magic
    I already found 70254592 magic numbers, including 7340031 very magic
    I already found 71303168 magic numbers, including 8388607 very magic
    I already found 72351744 magic numbers, including 8388608 very magic
    I already found 73400320 magic numbers, including 8388608 very magic
    I already found 74448896 magic numbers, including 8388608 very magic
    I already found 75497472 magic numbers, including 8388608 very magic
    I already found 76546048 magic numbers, including 8388608 very magic
    I already found 77594624 magic numbers, including 8388608 very magic
    I already found 78643200 magic numbers, including 8388608 very magic
    I already found 79691776 magic numbers, including 8388608 very magic
    I already found 80740352 magic numbers, including 8388608 very magic
    I already found 81788928 magic numbers, including 8388608 very magic
    I already found 82837504 magic numbers, including 8388608 very magic
    I already found 83886080 magic numbers, including 8388608 very magic
    I already found 84934656 magic numbers, including 8388608 very magic
    I already found 85983232 magic numbers, including 8388608 very magic
    I already found 87031808 magic numbers, including 8388608 very magic
    I already found 88080384 magic numbers, including 8388608 very magic
    I already found 89128960 magic numbers, including 8388608 very magic
    I already found 90177536 magic numbers, including 8388608 very magic
    I already found 91226112 magic numbers, including 8388608 very magic
    I already found 92274688 magic numbers, including 8388608 very magic
    I already found 93323264 magic numbers, including 8388608 very magic
    I already found 94371840 magic numbers, including 8388608 very magic
    I already found 95420416 magic numbers, including 8388608 very magic
    I already found 96468992 magic numbers, including 8388608 very magic
    I already found 97517568 magic numbers, including 8388608 very magic
    I already found 98566144 magic numbers, including 8388608 very magic
    I already found 99614720 magic numbers, including 8388608 very magic
    I already found 100663296 magic numbers, including 8388608 very magic
    I already found 101711872 magic numbers, including 8388608 very magic
    I already found 102760448 magic numbers, including 8388608 very magic
    I already found 103809024 magic numbers, including 8388608 very magic
    I already found 104857600 magic numbers, including 8388608 very magic
    I already found 105906176 magic numbers, including 8388608 very magic
    I already found 106954752 magic numbers, including 8388608 very magic
    I already found 108003328 magic numbers, including 8388608 very magic
    I already found 109051904 magic numbers, including 8388608 very magic
    I already found 110100480 magic numbers, including 8388608 very magic
    I already found 111149056 magic numbers, including 8388608 very magic
    I already found 112197632 magic numbers, including 8388608 very magic
    I already found 113246208 magic numbers, including 8388608 very magic
    I already found 114294784 magic numbers, including 8388608 very magic
    I already found 115343360 magic numbers, including 8388608 very magic
    I already found 116391936 magic numbers, including 8388608 very magic
    I already found 117440512 magic numbers, including 8388608 very magic
    I already found 118489088 magic numbers, including 8388608 very magic
    I already found 119537664 magic numbers, including 8388608 very magic
    I already found 120586240 magic numbers, including 8388608 very magic
    I already found 121634816 magic numbers, including 8388608 very magic
    I already found 122683392 magic numbers, including 8388608 very magic
    I already found 123731968 magic numbers, including 8388608 very magic
    I already found 124780544 magic numbers, including 8388608 very magic
    I already found 125829120 magic numbers, including 8388608 very magic
    I already found 126877696 magic numbers, including 8388608 very magic
    I already found 127926272 magic numbers, including 8388608 very magic
    I already found 128974848 magic numbers, including 8388608 very magic
    I already found 130023424 magic numbers, including 8388608 very magic
    I already found 131072000 magic numbers, including 8388608 very magic
    I already found 132120576 magic numbers, including 8388608 very magic
    I already found 133169152 magic numbers, including 8388608 very magic
    I already found 134217728 magic numbers, including 8388608 very magic
looking for magic with first 6 bits: 0b000010...
looking for magic with first 6 bits: 0b000011...
looking for magic with first 6 bits: 0b000100...
looking for magic with first 6 bits: 0b000101...
